Wall clock,CPU time,User time,System time,Maximum memory,Maximum text,Unshared data,Stack space,Minor fault,Major fault,Swaps,Inblock,Outblock,Messages sent,Message received,Signals,Voluntary switch,Involuntary switch,
44.1700,44.1535,44.1307,0.227500E-1,1740,0,0,0,44,1,0,16080,2584,0,0,0,7,3370,
45.1810,45.1640,45.1320,0.319970E-1,1740,0,0,0,3,0,0,0,2608,0,0,0,0,6152,
49.3720,49.3620,48.3281,1.03388,1740,0,0,0,500015,0,0,0,2624,0,0,0,0,3413,
143.697,143.679,93.6992,49.9800,3424,0,0,0,53200003,0,0,0,2768,0,0,0,1,3397,
1429.64,1427.95,735.158,692.796,27672,0,0,0,647200011,0,0,0,4784,0,0,0,16,60904,
